# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:12:36
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=1014
# duration_s=16.882
# achieved_rate_hz=60.06
# longest_frame_ms=20.5
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,16.667,-0.21368,-8.40903,-6.15908,-0.24983,-8.39067,-5.06998,-0.11601,-0.12671,-0.06065
1,13.904,16.667,-0.11133,-8.58815,-5.83033,-0.25752,-8.37920,-5.08852,-0.17852,-0.22821,-0.04374
2,30.943,16.667,-0.06270,-8.73958,-5.27787,-0.27096,-8.36676,-5.10826,-0.13956,-0.19607,-0.00784
3,47.575,16.667,-0.08440,-8.70562,-5.14948,-0.28424,-8.35962,-5.11922,-0.04054,-0.09809,0.03204
4,64.184,16.667,-0.24152,-8.50525,-5.05057,-0.29477,-8.36278,-5.11345,0.10271,0.03657,0.05223
5,81.171,16.667,-0.39504,-8.36714,-5.06778,-0.29590,-8.37304,-5.09657,0.16519,0.09264,0.04790
6,99.762,16.667,-0.55291,-8.32434,-5.07720,-0.29274,-8.39052,-5.06792,0.17474,0.08576,0.02932
7,116.215,16.667,-0.57610,-8.29022,-5.01286,-0.29006,-8.40224,-5.04863,0.13206,0.05724,0.01458
8,132.850,16.667,-0.60289,-8.27601,-4.88612,-0.28786,-8.40979,-5.03616,0.06815,0.02687,0.00234
9,149.656,16.667,-0.62189,-8.17096,-4.84601,-0.28654,-8.41261,-5.03153,-0.00913,-0.00939,-0.00974
10,166.301,16.667,-0.60259,-8.07489,-4.83584,-0.28501,-8.41061,-5.03496,-0.04043,-0.00879,-0.02556
11,183.091,16.667,-0.57012,-7.92930,-4.94058,-0.28154,-8.40753,-5.04029,-0.04085,-0.00188,-0.03870
12,199.675,16.667,-0.53600,-7.83413,-5.02708,-0.27267,-8.40496,-5.04507,-0.01082,0.01550,-0.05586
13,215.602,16.667,-0.55456,-7.79971,-5.04713,-0.26329,-8.40595,-5.04392,0.03061,0.02984,-0.06760
14,230.646,16.667,-0.61142,-7.70738,-4.98667,-0.25064,-8.41013,-5.03759,0.07027,0.05449,-0.08624
15,248.199,16.667,-0.65841,-7.65621,-4.92038,-0.23277,-8.41689,-5.02714,0.09852,0.09150,-0.11240
16,264.771,16.667,-0.72514,-7.52019,-4.99984,-0.19977,-8.42913,-5.00802,0.13318,0.10604,-0.15797
17,282.917,16.667,-0.80415,-7.53306,-4.95286,-0.16945,-8.43992,-4.99093,0.13984,0.10578,-0.19418
18,300.066,16.667,-0.82331,-7.61416,-4.83449,-0.12047,-8.45418,-4.96817,0.12725,0.12403,-0.24801
19,316.376,16.667,-0.82720,-7.65351,-4.86711,-0.07758,-8.46350,-4.95314,0.10995,0.12853,-0.27917
20,332.692,16.667,-0.79188,-7.78609,-4.98173,-0.03105,-8.47132,-4.94025,0.09120,0.11037,-0.31606
21,349.740,16.667,-0.67083,-7.93289,-4.94762,0.03706,-8.47870,-4.92754,0.05693,0.10665,-0.36497
22,366.747,16.667,-0.59286,-8.05978,-5.01316,0.09352,-8.48198,-4.92114,0.04825,0.11083,-0.39497
