# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:29:05
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=1361
# duration_s=11.373
# achieved_rate_hz=119.67
# longest_frame_ms=22.6
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.391,0.10101,-8.47981,-3.95432,-0.46187,-8.48963,-4.88705,-0.46390,-0.24347,-0.01743
1,14.593,11.062,0.05701,-8.20553,-5.73621,-0.48897,-8.44725,-4.95734,-0.34742,-0.07231,0.11266
2,27.897,13.259,-0.29523,-8.18323,-6.22238,-0.49935,-8.43267,-4.98107,-0.21449,0.06023,0.12214
3,36.194,9.259,-0.54782,-8.18159,-6.35406,-0.50260,-8.42479,-4.99407,-0.08388,0.18419,0.09653
4,44.470,9.259,-0.56668,-8.08103,-6.29121,-0.49711,-8.42303,-4.99758,0.02811,0.29092,0.05677
5,52.946,9.259,-0.48094,-7.96656,-6.15295,-0.49117,-8.42416,-4.99627,0.07121,0.33445,0.03324
6,61.322,9.259,-0.41285,-7.96027,-5.86594,-0.47449,-8.42953,-4.98882,0.14145,0.39979,0.01108
7,69.634,9.259,-0.35838,-7.93289,-5.43873,-0.45541,-8.43689,-4.97814,0.14718,0.38412,0.01588
8,78.015,9.259,-0.35838,-7.93289,-5.43873,-0.44791,-8.43985,-4.97380,0.09468,0.30485,0.03585
9,86.296,9.259,-0.24481,-7.87588,-4.65238,-0.43899,-8.44153,-4.97174,-0.01790,0.20793,0.05119
10,94.627,9.259,-0.20620,-7.95444,-4.59208,-0.43529,-8.43799,-4.97808,-0.10777,0.12957,0.05204
11,103.075,9.259,-0.21742,-7.99544,-4.65238,-0.43423,-8.43485,-4.98349,-0.13568,0.11245,0.04130
12,111.324,9.091,-0.22057,-8.13176,-4.82058,-0.43096,-8.42685,-4.99729,-0.17661,0.09873,0.00558
13,119.641,9.091,-0.27114,-8.30055,-4.80531,-0.42489,-8.41744,-5.01364,-0.19929,0.07612,-0.04344
14,128.066,9.091,-0.27114,-8.30055,-4.80531,-0.42063,-8.41235,-5.02253,-0.21417,0.07955,-0.06563
15,136.275,9.091,-0.21578,-8.36669,-4.82776,-0.41023,-8.40086,-5.04258,-0.25371,0.12582,-0.05252
16,144.651,9.091,-0.12091,-8.20478,-5.08244,-0.40007,-8.38686,-5.06665,-0.30379,0.21999,0.02276
17,153.142,9.091,-0.04040,-8.06831,-5.35957,-0.39572,-8.37878,-5.08034,-0.32422,0.26805,0.06583
18,161.571,9.091,-0.06195,-8.07160,-5.51923,-0.38837,-8.36118,-5.10981,-0.34727,0.34111,0.12772
19,169.815,9.091,-0.19303,-8.13340,-5.58477,-0.38192,-8.34288,-5.14013,-0.34182,0.36171,0.14691
20,178.215,9.091,-0.19303,-8.13340,-5.58477,-0.37861,-8.33390,-5.15492,-0.33292,0.35515,0.13738
21,186.315,9.091,-0.31963,-8.18084,-5.60991,-0.37087,-8.31696,-5.18276,-0.30515,0.32844,0.09859
22,194.807,9.091,-0.39669,-8.23037,-5.71152,-0.36042,-8.30168,-5.20793,-0.26966,0.31339,0.05320
23,203.108,8.521,-0.38292,-8.27107,-5.90156,-0.35427,-8.29483,-5.21926,-0.24848,0.29822,0.03570
24,211.513,8.447,-0.24705,-8.36429,-5.74638,-0.34187,-8.28278,-5.23918,-0.20787,0.21444,-0.00415
25,219.885,8.310,-0.11328,-8.37133,-5.56891,-0.33198,-8.27285,-5.25549,-0.17194,0.12603,-0.01645
26,228.013,8.196,-0.11328,-8.37133,-5.56891,-0.32851,-8.26854,-5.26249,-0.15695,0.09100,-0.01275
27,236.365,8.306,0.14829,-8.21540,-5.58522,-0.32497,-8.26049,-5.27533,-0.15265,0.05021,0.01786
28,244.815,8.490,0.43619,-8.01549,-5.56697,-0.32600,-8.25200,-5.28853,-0.16626,0.04197,0.06858
29,252.883,8.036,0.40342,-7.83428,-5.51070,-0.32832,-8.24722,-5.29584,-0.18366,0.04203,0.09784
30,261.356,8.509,0.12076,-7.77951,-5.42825,-0.33577,-8.23608,-5.31268,-0.21977,0.04772,0.13758
31,269.925,8.513,-0.25304,-7.88515,-5.35718,-0.34457,-8.22269,-5.33282,-0.26408,0.05747,0.13719
32,278.122,8.253,-0.25304,-7.88515,-5.35718,-0.34810,-8.21522,-5.34410,-0.27763,0.07928,0.12285
33,286.522,8.352,-0.68369,-8.02297,-5.40341,-0.34945,-8.19948,-5.36813,-0.29160,0.18988,0.07615
34,294.791,8.314,-0.92536,-8.05529,-5.83362,-0.33988,-8.18420,-5.39201,-0.26262,0.32736,0.03437
35,303.071,8.226,-0.90501,-7.97120,-6.05509,-0.33144,-8.17741,-5.40282,-0.23504,0.37984,0.02079
36,311.281,8.261,-0.76809,-7.97209,-6.02740,-0.30971,-8.16652,-5.42056,-0.16365,0.44363,-0.00038
37,319.630,8.294,-0.67038,-8.05589,-6.11808,-0.28338,-8.15974,-5.43219,-0.08407,0.49963,-0.00829
38,327.852,8.281,-0.67038,-8.05589,-6.11808,-0.26934,-8.15787,-5.43571,-0.05361,0.50832,-0.00659
39,336.784,8.333,-0.66200,-8.04497,-6.04940,-0.24157,-8.15653,-5.43903,-0.00269,0.49747,0.00094
40,357.327,9.091,-0.58419,-8.14747,-5.50128,-0.19647,-8.15644,-5.44098,-0.02964,0.37879,0.03936
41,359.670,8.333,-0.58419,-8.14747,-5.50128,-0.19647,-8.15644,-5.44098,-0.06786,0.38115,0.06470
42,368.362,8.333,-0.35329,-8.06352,-5.25916,-0.18078,-8.15236,-5.44764,-0.12434,0.41023,0.10001
43,386.175,9.091,0.31334,-7.71846,-5.38830,-0.15891,-8.12289,-5.49216,-0.39800,0.54199,0.31631
44,395.160,15.061,0.52179,-7.91703,-4.85050,-0.16043,-8.09680,-5.53051,-0.52282,0.49877,0.41982
45,403.223,8.802,0.69671,-8.09734,-4.81743,-0.16470,-8.08121,-5.55313,-0.57268,0.48766,0.46701
46,411.174,8.333,0.71392,-7.98391,-4.84916,-0.18073,-8.04606,-5.60345,-0.64802,0.41891,0.55300
47,419.765,8.333,0.71392,-7.98391,-4.84916,-0.19201,-8.02686,-5.63055,-0.69860,0.41520,0.58692
48,427.792,8.333,0.59032,-8.07415,-4.91619,-0.21477,-7.98614,-5.68733,-0.70974,0.45936,0.57594
49,436.413,8.333,0.16236,-8.47009,-5.43738,-0.23119,-7.94432,-5.74497,-0.70106,0.48051,0.51555
50,444.987,8.375,-0.08707,-8.59633,-5.35935,-0.23730,-7.92377,-5.77304,-0.65814,0.48569,0.45957
51,453.223,8.333,0.02559,-8.44629,-5.55739,-0.24550,-7.88456,-5.82614,-0.62236,0.50663,0.44325
52,461.606,8.333,-0.08006,-8.26493,-6.01064,-0.24744,-7.84975,-5.87287,-0.52078,0.61543,0.43984
53,469.891,8.333,-0.08006,-8.26493,-6.01064,-0.24578,-7.83476,-5.89292,-0.45802,0.68625,0.45238
54,478.266,8.333,-0.15577,-8.01264,-6.25351,-0.24086,-7.81061,-5.92509,-0.31914,0.72057,0.49513
55,486.357,8.333,-0.25633,-7.93304,-6.13230,-0.23776,-7.79392,-5.94715,-0.20002,0.69757,0.50181
56,494.771,8.333,-0.62534,-8.10033,-6.40838,-0.23646,-7.78823,-5.95466,-0.14199,0.68482,0.48814
57,503.157,8.333,-0.83767,-8.15136,-6.38369,-0.23405,-7.78134,-5.96375,-0.06168,0.60271,0.43427
58,511.446,8.333,-0.73427,-8.27331,-6.10581,-0.23081,-7.77679,-5.96982,-0.07426,0.48808,0.30666
59,519.879,8.333,-0.73427,-8.27331,-6.10581,-0.22734,-7.77364,-5.97404,-0.11546,0.43115,0.22113
60,528.180,8.333,-0.82151,-8.42550,-5.87881,-0.21402,-7.76247,-5.98904,-0.25441,0.31638,0.01245
61,536.386,8.333,-0.93224,-8.22214,-5.63191,-0.19386,-7.74295,-6.01495,-0.39121,0.16263,-0.13937
62,544.871,8.333,-0.78934,-7.87243,-5.50442,-0.18335,-7.73055,-6.03120,-0.44000,0.11288,-0.18773
63,553.110,8.333,-0.56144,-7.62852,-6.17031,-0.15942,-7.70223,-6.06800,-0.49854,0.16306,-0.21830
64,561.524,8.333,-0.35240,-7.57002,-6.63433,-0.13012,-7.67114,-6.10795,-0.52263,0.23943,-0.21992
65,569.759,8.333,-0.35240,-7.57002,-6.63433,-0.11379,-7.65529,-6.12813,-0.51948,0.25853,-0.23211
66,578.142,8.333,-0.35210,-7.82949,-6.50684,-0.07799,-7.62465,-6.16677,-0.47385,0.30725,-0.24311
67,586.614,8.346,-0.28910,-7.76021,-6.67429,-0.04090,-7.59817,-6.19972,-0.37475,0.35174,-0.17462
68,595.149,8.409,-0.05806,-7.54637,-6.83156,-0.02441,-7.58758,-6.21276,-0.30703,0.34700,-0.11973
69,603.191,8.333,0.06554,-7.57241,-6.68551,-0.00055,-7.57345,-6.23003,-0.14317,0.27093,0.00046
70,611.573,8.333,0.06300,-7.57989,-6.59842,0.01032,-7.56999,-6.23423,0.02937,0.18720,0.08073
71,619.817,8.333,0.06300,-7.57989,-6.59842,0.01215,-7.57208,-6.23168,0.10451,0.14804,0.09897
72,628.214,8.333,-0.03457,-7.85523,-6.25904,0.01013,-7.58268,-6.21878,0.22910,0.02673,0.09596
73,636.442,8.333,-0.08679,-8.19700,-5.58702,0.00173,-7.59916,-6.19864,0.29091,-0.09737,0.06037
74,644.903,8.333,-0.21413,-8.27481,-5.39069,-0.00402,-7.60832,-6.18739,0.29977,-0.14931,0.04177
75,653.119,8.333,-0.43949,-8.25356,-5.14424,-0.01800,-7.62617,-6.16536,0.27021,-0.25257,-0.00097
