# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:43:45
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=1809
# duration_s=15.065
# achieved_rate_hz=120.08
# longest_frame_ms=11.7
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,0.50413,-7.89802,-5.32785,0.82001,-7.95049,-5.68223,0.02888,0.35265,-0.02661
1,5.992,8.333,0.25648,-8.41248,-5.73800,0.84349,-7.95198,-5.67671,0.04164,0.36241,-0.04315
2,13.972,8.333,0.73577,-8.01549,-5.83721,0.85538,-7.95316,-5.67327,0.05193,0.37950,-0.02391
3,22.236,8.333,1.04148,-7.72115,-5.98954,0.87776,-7.95655,-5.66509,0.06739,0.42778,0.03244
4,30.242,8.333,1.00332,-7.86959,-6.11105,0.89965,-7.96184,-5.65421,0.10390,0.50951,0.07849
5,38.868,8.333,1.00332,-7.86959,-6.11105,0.91121,-7.96559,-5.64708,0.13271,0.55286,0.09623
6,47.054,8.333,0.93269,-7.99529,-6.26877,0.93549,-7.97512,-5.62962,0.16879,0.58881,0.10963
7,55.477,8.333,0.89992,-8.03300,-6.02950,0.96022,-7.98620,-5.60972,0.18207,0.61758,0.11716
8,63.744,8.333,0.85054,-8.02102,-5.84784,0.97303,-7.99181,-5.59951,0.17685,0.63255,0.11994
9,72.160,8.333,0.88346,-7.98481,-5.91622,0.99941,-8.00304,-5.57880,0.18334,0.64177,0.11902
10,80.375,8.333,0.86810,-7.98217,-5.91409,1.01250,-8.00884,-5.56810,0.19353,0.62356,0.11780
11,88.836,8.333,0.88092,-7.98810,-5.90320,1.03777,-8.02079,-5.54620,0.19631,0.60490,0.11320
12,97.189,8.333,0.86012,-7.99514,-5.82479,1.06123,-8.03263,-5.52458,0.18522,0.55081,0.10586
13,105.564,8.333,0.85862,-7.95713,-5.66693,1.08215,-8.04303,-5.50537,0.14640,0.48932,0.08688
14,113.676,8.333,0.84306,-7.93453,-5.52657,1.09196,-8.04696,-5.49767,0.10814,0.45526,0.07242
15,122.088,8.333,0.82091,-7.89323,-5.39773,1.11163,-8.05202,-5.48631,0.05993,0.43653,0.05111
16,130.344,8.333,0.82091,-7.89323,-5.39773,1.12149,-8.05402,-5.48137,0.07821,0.47873,0.08827
17,138.892,8.333,0.93598,-7.89279,-5.75327,1.14068,-8.05932,-5.46961,0.09383,0.51893,0.11799
18,147.079,8.333,1.04312,-7.83862,-6.09100,1.16086,-8.06695,-5.45409,0.12535,0.61348,0.14277
19,155.557,8.333,0.93628,-7.79043,-6.14083,1.18629,-8.07555,-5.43586,0.13223,0.69528,0.10566
20,163.869,8.333,0.69596,-7.79343,-5.99792,1.20205,-8.07964,-5.42632,0.13081,0.71719,0.06579
21,172.099,8.333,0.58134,-7.80106,-5.85697,1.23752,-8.08640,-5.40823,0.10507,0.68161,0.00476
22,180.367,8.333,0.58134,-7.80106,-5.85697,1.25575,-8.08930,-5.39970,0.11173,0.70298,0.01855
23,188.773,8.333,0.83617,-7.95863,-5.79322,1.29228,-8.09579,-5.38132,0.13203,0.73871,0.03705
24,197.101,8.333,0.96531,-7.90655,-6.02217,1.33154,-8.10491,-5.35796,0.18735,0.86842,0.04656
25,205.615,8.333,0.51284,-7.81705,-6.04998,1.35452,-8.11058,-5.34361,0.24302,1.06654,0.01757
26,213.891,8.333,0.45280,-7.92376,-6.03653,1.41000,-8.12376,-5.30912,0.26784,1.16697,0.00439
27,222.096,8.333,0.74475,-7.92675,-5.97159,1.47655,-8.13930,-5.26707,0.31271,1.34803,0.00485
28,230.354,8.333,0.74475,-7.92675,-5.97159,1.51277,-8.14767,-5.24379,0.31645,1.43554,0.01711
29,238.837,8.333,1.00781,-7.94127,-5.93208,1.58872,-8.16461,-5.19476,0.30396,1.58878,0.06541
30,247.162,8.333,1.15715,-7.71292,-6.05015,1.66682,-8.18147,-5.14351,0.28763,1.71085,0.12040
31,255.375,8.333,1.21775,-7.40123,-6.23779,1.70563,-8.19000,-5.11714,0.29196,1.71795,0.13686
32,263.759,8.333,1.31202,-7.40811,-6.21774,1.77968,-8.20766,-5.06333,0.30492,1.64083,0.15467
33,272.040,8.333,1.44101,-7.42188,-6.26413,1.84634,-8.22683,-5.00806,0.33871,1.52875,0.16608
34,280.533,8.333,1.44101,-7.42188,-6.26413,1.87720,-8.23709,-4.97964,0.35750,1.48015,0.16404
35,288.680,8.333,1.46136,-7.41664,-6.31905,1.93677,-8.25896,-4.92025,0.40862,1.44526,0.14503
36,297.155,8.333,1.43428,-7.45450,-6.38115,1.99724,-8.28377,-4.85393,0.49655,1.49971,0.13568
37,305.373,8.333,1.40899,-7.50672,-6.72217,2.02829,-8.29801,-4.81658,0.56574,1.53270,0.13839
38,313.898,8.333,1.39268,-7.67581,-6.61653,2.09143,-8.33155,-4.73092,0.70647,1.62757,0.15748
39,322.489,8.333,1.52017,-7.72459,-6.48604,2.15631,-8.37173,-4.62979,0.84765,1.74369,0.18906
40,330.507,8.333,1.52017,-7.72459,-6.48604,2.18831,-8.39418,-4.57378,0.90826,1.76441,0.21386
41,339.042,8.333,1.65469,-7.66369,-6.25485,2.24785,-8.44307,-4.45332,1.01506,1.74252,0.25582
42,347.147,8.333,1.75166,-7.66249,-5.61635,2.29998,-8.49535,-4.32546,1.07660,1.65997,0.28170
43,355.391,8.333,2.02086,-7.81871,-5.30301,2.32290,-8.52203,-4.26022,1.09452,1.61197,0.29429
44,363.865,8.333,2.30382,-7.64139,-5.08199,2.36278,-8.57501,-4.12999,1.08810,1.52190,0.30582
